NAME_1;pm10;so2;population_density;unemployment;gdp_per_capita;hospitalbeds ;no_of_physcians; average_household_size  ;automobile_number;literacy ;dis.ofcirculatory.syst.;dis.ofresp.Syst.;elderly_dep.ratio;age20.39;age40.59;age60.79;age80.;endoc.Andmetabolic_ dis.;cumcase
Adana;5.333333333;55.5;162.66;13.3;6976.56;7412.00;2;3.49;161;96.99;4104;1204;13.6;0.291724342;0.257429951;0.257262159;0.014311384;501;11908.42
Adýyaman;3;51;89.88;12.9;4091.67;1405.00;2;4;85;94.73;1094;402;13;0.29585635;0.219084771;0.221832345;0.216292592;131;8300.73
Afyon;23;81;51.99;8.3;6160.67;2317.00;2;3.28;126;97.82;2253;728;17.53;0.291798075;0.254038343;0.255128278;0.252952318;202;9462.89
Aðrý;20;58;45.74;11.4;2988.10;892.00;1;4.61;17;93.73;513;248;8.53;0.321823942;0.162266222;0.16590594;0.158350972;74;8286.18
Aksaray;7;68;56.68;11.9;7218.83;841.00;1;3.37;164;96.48;777;253;14.6;0.271770281;0.268475029;0.266552118;0.270383486;142;11470.93
Amasya;20;55.75;58.93;8.3;5875.20;835.00;3;2.94;190;97.41;1060;306;23.61;0.315692605;0.275475634;0.273418984;0.277489432;107;17127.94
Ankara;7.875;68.75;234.38;14.8;13019.76;19834.00;2;2.96;290;98.41;9036;2960;13.32;0.301503684;0.286610363;0.287480938;0.285733332;1460;19484.56
Antalya;4;51;126.42;12.2;8982.74;7484.00;2;2.96;223;99.07;4274;1271;13.2;0.273387872;0.271111164;0.276223939;0.265853979;550;5236.4
Ardahan;14;25;19.61;11.4;5789.09;215.00;2;3.18;40;94.67;260;108;21.57;0.272656568;0.277030346;0.277907136;0.276165774;35;9926.56
Artvin;9;24;23.01;8.8;10051.41;363.00;2;2.78;103;97.12;575;196;26.87;0.26395519;0.287957077;0.285306629;0.290609407;54;12958.5
Aydýn;10;45;144.44;9.6;6444.40;3218.00;1;2.81;174;98.38;3917;1184;21.02;0.325225328;0.258323333;0.253946494;0.263079018;181;8237.25
Balýkesir;10.66666667;54.5;87.46;7.8;8050.87;3363.00;1;2.64;181;98.25;4638;1621;23.84;0.3374177;0.214674758;0.214961307;0.214382099;324;15930.89
Bartýn;10;51;96.98;9.2;5937.33;432.00;1;2.86;152;96.41;601;276;22.68;0.328306986;0.174836847;0.180482144;0.168815703;99;12246.61
Batman;8;62;134.43;33.4;4072.57;1942.00;3;4.92;26;95.4;581;185;7.56;0.298680683;0.263513471;0.26525413;0.261803585;60;7473.28
Bayburt;6;39;22.74;10.1;5150.39;200.00;1;3.15;82;96.11;160;77;16.91;0.290151106;0.262681027;0.263401567;0.261955055;22;9922.25
Bilecik;8.5;51.5;53.08;9.7;11713.23;583.00;2;2.88;155;98.45;622;206;16.87;0.3012671;0.276149066;0.277364014;0.274934962;108;17363.51
Bingöl;8;43;34.3;10.5;4771.02;756.00;2;3.57;30;94.73;379;89;11.49;0.283301273;0.281173063;0.279298979;0.283070101;33;11282.55
Bitlis;24.5;27;50.17;23.6;3880.90;988.00;1;4.28;23;95.21;393;103;9.15;0.281902145;0.250840903;0.25197929;0.24967862;55;7690.32
Bolu;12;31;38.46;12.2;10265.76;1505.00;2;2.88;186;97.39;911;353;21.07;0.26293128;0.268371329;0.270651118;0.266122092;75;18186.91
Burdur;9;69;40.02;12.2;7422.17;770.00;2;2.68;210;97.9;901;251;23.1;0.287890464;0.283309357;0.286276165;0.280365382;131;12220.37
Bursa;11.4;78.5;302.04;9.7;10765.15;8379.00;2;3.17;180;98.01;7161;2045;14.31;0.325551965;0.18566485;0.186101784;0.185219543;339;15964.16
Çanakkale;15;46;56.1;7.8;9959.15;1705.00;3;2.57;178;98.88;2001;643;22.98;0.287584776;0.279128399;0.278390093;0.279879756;94;18836.94
Çankýrý;8;54;26.24;6.5;7962.16;465.00;2;2.72;115;96.33;689;240;25.82;0.301660636;0.257313531;0.253140229;0.261411893;82;14007.91
Çorum;25.5;67.66666667;41.14;8.3;5429.62;1714.00;2;2.85;162;95.92;1870;417;24.65;0.323668322;0.239914725;0.241577841;0.238203515;147;16851.74
Denizli;14.5;69.5;89.9;9.6;8662.96;3237.00;2;2.89;205;98.81;3151;864;17;0.314287488;0.220863451;0.223868887;0.217876786;196;12175.06
Diyarbakýr;8;49;118.96;20;3892.97;4797.00;2;4.43;31;94.37;2211;569;8.09;0.304069931;0.281633716;0.277773187;0.285469854;223;8834.2
Düzce;7;78;156.2;12.2;8538.63;844.00;1;3.18;151;97.51;888;340;15.86;0.309232588;0.204036083;0.206991015;0.201024054;113;15984.51
